"displacement0","displacement:1","pressure","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.012348,-0.025,631.8,1,10,0.5,0.5,0
0.012073,-0.025,593.59,1,20,0.5,0.5,0
0.011747,-0.025,549.58,1,30,0.5,0.5,0
0.011412,-0.025,509.55,1,40,0.5,0.5,0
0.011085,-0.025,474.91,1,50,0.5,0.5,0
0.010773,-0.025,444.86,1,60,0.5,0.5,0
0.010477,-0.025,418.35,1,70,0.5,0.5,0
0.010196,-0.025,394.54,1,80,0.5,0.5,0
0.0099294,-0.025,372.81,1,90,0.5,0.5,0
0.0096767,-0.025,352.76,1,100,0.5,0.5,0
0.0094371,-0.025,334.09,1,110,0.5,0.5,0
0.0092099,-0.025,316.6,1,120,0.5,0.5,0
0.0089943,-0.025,300.15,1,130,0.5,0.5,0
0.0087898,-0.025,284.63,1,140,0.5,0.5,0
0.0085958,-0.025,269.96,1,150,0.5,0.5,0
0.0084118,-0.025,256.08,1,160,0.5,0.5,0
0.0082372,-0.025,242.94,1,170,0.5,0.5,0
0.0080715,-0.025,230.48,1,180,0.5,0.5,0
0.0079143,-0.025,218.67,1,190,0.5,0.5,0
0.0077652,-0.025,207.47,1,200,0.5,0.5,0
0.0076236,-0.025,196.84,1,210,0.5,0.5,0
0.0074894,-0.025,186.77,1,220,0.5,0.5,0
0.007362,-0.025,177.21,1,230,0.5,0.5,0
0.0072411,-0.025,168.14,1,240,0.5,0.5,0
0.0071264,-0.025,159.53,1,250,0.5,0.5,0
0.0070176,-0.025,151.37,1,260,0.5,0.5,0
0.0069143,-0.025,143.62,1,270,0.5,0.5,0
0.0068164,-0.025,136.27,1,280,0.5,0.5,0
0.0067234,-0.025,129.29,1,290,0.5,0.5,0
0.0066352,-0.025,122.68,1,300,0.5,0.5,0
0.0065515,-0.025,116.4,1,310,0.5,0.5,0
0.0064721,-0.025,110.44,1,320,0.5,0.5,0
0.0063968,-0.025,104.79,1,330,0.5,0.5,0
0.0063253,-0.025,99.428,1,340,0.5,0.5,0
0.0062575,-0.025,94.34,1,350,0.5,0.5,0
0.0061931,-0.025,89.512,1,360,0.5,0.5,0
0.0061321,-0.025,84.931,1,370,0.5,0.5,0
0.0060741,-0.025,80.584,1,380,0.5,0.5,0
0.0060192,-0.025,76.46,1,390,0.5,0.5,0
0.005967,-0.025,72.547,1,400,0.5,0.5,0
0.0059175,-0.025,68.835,1,410,0.5,0.5,0
0.0058706,-0.025,65.312,1,420,0.5,0.5,0
0.005826,-0.025,61.97,1,430,0.5,0.5,0
0.0057837,-0.025,58.798,1,440,0.5,0.5,0
0.0057436,-0.025,55.789,1,450,0.5,0.5,0
0.0057056,-0.025,52.934,1,460,0.5,0.5,0
0.0056695,-0.025,50.225,1,470,0.5,0.5,0
0.0056352,-0.025,47.655,1,480,0.5,0.5,0
0.0056027,-0.025,45.216,1,490,0.5,0.5,0
0.0055719,-0.025,42.902,1,500,0.5,0.5,0
0.0055426,-0.025,40.706,1,510,0.5,0.5,0
0.0055148,-0.025,38.623,1,520,0.5,0.5,0
0.0054885,-0.025,36.647,1,530,0.5,0.5,0
0.0054635,-0.025,34.771,1,540,0.5,0.5,0
0.0054398,-0.025,32.992,1,550,0.5,0.5,0
0.0054173,-0.025,31.303,1,560,0.5,0.5,0
0.0053959,-0.025,29.701,1,570,0.5,0.5,0
0.0053756,-0.025,28.181,1,580,0.5,0.5,0
0.0053564,-0.025,26.739,1,590,0.5,0.5,0
0.0053382,-0.025,25.371,1,600,0.5,0.5,0
0.0053209,-0.025,24.072,1,610,0.5,0.5,0
0.0053044,-0.025,22.84,1,620,0.5,0.5,0
0.0052889,-0.025,21.672,1,630,0.5,0.5,0
0.0052741,-0.025,20.562,1,640,0.5,0.5,0
0.0052601,-0.025,19.51,1,650,0.5,0.5,0
0.0052467,-0.025,18.512,1,660,0.5,0.5,0
0.0052341,-0.025,17.564,1,670,0.5,0.5,0
0.0052221,-0.025,16.665,1,680,0.5,0.5,0
0.0052108,-0.025,15.813,1,690,0.5,0.5,0
0.0052,-0.025,15.003,1,700,0.5,0.5,0
0.0051898,-0.025,14.236,1,710,0.5,0.5,0
0.00518,-0.025,13.507,1,720,0.5,0.5,0
0.0051708,-0.025,12.816,1,730,0.5,0.5,0
0.0051621,-0.025,12.16,1,740,0.5,0.5,0
0.0051538,-0.025,11.538,1,750,0.5,0.5,0
0.0051459,-0.025,10.947,1,760,0.5,0.5,0
0.0051385,-0.025,10.387,1,770,0.5,0.5,0
0.0051314,-0.025,9.8554,1,780,0.5,0.5,0
0.0051246,-0.025,9.351,1,790,0.5,0.5,0
0.0051183,-0.025,8.8725,1,800,0.5,0.5,0
0.0051122,-0.025,8.4184,1,810,0.5,0.5,0
0.0051065,-0.025,7.9876,1,820,0.5,0.5,0
0.005101,-0.025,7.5788,1,830,0.5,0.5,0
0.0050959,-0.025,7.191,1,840,0.5,0.5,0
0.0050909,-0.025,6.8229,1,850,0.5,0.5,0
0.0050863,-0.025,6.4738,1,860,0.5,0.5,0
0.0050819,-0.025,6.1425,1,870,0.5,0.5,0
0.0050777,-0.025,5.8281,1,880,0.5,0.5,0
0.0050737,-0.025,5.5299,1,890,0.5,0.5,0
0.0050699,-0.025,5.2469,1,900,0.5,0.5,0
0.0050664,-0.025,4.9784,1,910,0.5,0.5,0
0.005063,-0.025,4.7236,1,920,0.5,0.5,0
0.0050597,-0.025,4.4818,1,930,0.5,0.5,0
0.0050567,-0.025,4.2525,1,940,0.5,0.5,0
0.0050538,-0.025,4.0349,1,950,0.5,0.5,0
0.005051,-0.025,3.8284,1,960,0.5,0.5,0
0.0050484,-0.025,3.6324,1,970,0.5,0.5,0
0.0050459,-0.025,3.4465,1,980,0.5,0.5,0
0.0050436,-0.025,3.2702,1,990,0.5,0.5,0
0.0050414,-0.025,3.1028,1,1000,0.5,0.5,0
