"displacement0","displacement:1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.7642e-18,-0.05,485.87,1,0,0,1,0
0.00021424,-0.05,311.43,1,0.01,0.01,1,1.2246e-18
0.00042786,-0.05,175.62,1,0.02,0.02,1,2.4493e-18
0.00064083,-0.05,78.448,1,0.03,0.03,1,3.6739e-18
0.00085318,-0.05,19.907,1,0.04,0.04,1,4.8986e-18
0.0010649,-0.05,0,1,0.05,0.05,1,6.1232e-18
0.001276,-0.05,18.727,1,0.06,0.06,1,7.3479e-18
0.0014864,-0.05,76.088,1,0.07,0.07,1,8.5725e-18
0.0016962,-0.05,172.08,1,0.08,0.08,1,9.7972e-18
0.0019054,-0.05,306.71,1,0.09,0.09,1,1.1022e-17
0.002114,-0.05,479.98,1,0.1,0.1,1,1.2246e-17
0.0023161,-0.05,308.58,1,0.11,0.11,1,1.3471e-17
0.0025185,-0.05,174.89,1,0.12,0.12,1,1.4696e-17
0.002721,-0.05,78.896,1,0.13,0.13,1,1.592e-17
0.0029237,-0.05,20.599,1,0.14,0.14,1,1.7145e-17
0.0031266,-0.05,0,1,0.15,0.15,1,1.837e-17
0.0033296,-0.05,17.099,1,0.16,0.16,1,1.9594e-17
0.0035328,-0.05,71.896,1,0.17,0.17,1,2.0819e-17
0.0037361,-0.05,164.39,1,0.18,0.18,1,2.2044e-17
0.0039396,-0.05,294.59,1,0.19,0.19,1,2.3268e-17
0.0041433,-0.05,462.48,1,0.2,0.2,1,2.4493e-17
0.0043338,-0.05,298.26,1,0.21,0.21,1,2.5718e-17
0.0045251,-0.05,169.91,1,0.22,0.22,1,2.6942e-17
0.004717,-0.05,77.412,1,0.23,0.23,1,2.8167e-17
0.0049096,-0.05,20.776,1,0.24,0.24,1,2.9392e-17
0.0051029,-0.05,0,1,0.25,0.25,1,3.0616e-17
0.0052969,-0.05,15.084,1,0.26,0.26,1,3.1841e-17
0.0054916,-0.05,66.027,1,0.27,0.27,1,3.3065e-17
0.005687,-0.05,152.83,1,0.28,0.28,1,3.429e-17
0.0058831,-0.05,275.49,1,0.29,0.29,1,3.5515e-17
0.0060799,-0.05,434.01,1,0.3,0.3,1,3.6739e-17
0.0062576,-0.05,280.87,1,0.31,0.31,1,3.7964e-17
0.0064365,-0.05,160.89,1,0.32,0.32,1,3.9189e-17
0.0066165,-0.05,74.09,1,0.33,0.33,1,4.0413e-17
0.0067977,-0.05,20.459,1,0.34,0.34,1,4.1638e-17
0.0069801,-0.05,0,1,0.35,0.35,1,4.2863e-17
0.0071636,-0.05,12.713,1,0.36,0.36,1,4.4087e-17
0.0073483,-0.05,58.598,1,0.37,0.37,1,4.5312e-17
0.0075342,-0.05,137.65,1,0.38,0.38,1,4.6537e-17
0.0077213,-0.05,249.88,1,0.39,0.39,1,4.7761e-17
0.0079095,-0.05,395.28,1,0.4,0.4,1,4.8986e-17
0.0080731,-0.05,256.84,1,0.41,0.41,1,5.0211e-17
0.0082383,-0.05,148.09,1,0.42,0.42,1,5.1435e-17
0.0084052,-0.05,69.029,1,0.43,0.43,1,5.266e-17
0.0085736,-0.05,19.667,1,0.44,0.44,1,5.3884e-17
0.0087436,-0.05,0,1,0.45,0.45,1,5.5109e-17
0.0089152,-0.05,10.027,1,0.46,0.46,1,5.6334e-17
0.0090884,-0.05,49.75,1,0.47,0.47,1,5.7558e-17
0.0092632,-0.05,119.17,1,0.48,0.48,1,5.8783e-17
0.0094396,-0.05,218.28,1,0.49,0.49,1,6.0008e-17
0.0096176,-0.05,347.08,1,0.5,0.5,1,6.1232e-17
0.009766,-0.05,226.67,1,0.51,0.51,1,6.2457e-17
0.0099164,-0.05,131.76,1,0.52,0.52,1,6.3682e-17
0.010069,-0.05,62.345,1,0.53,0.53,1,6.4906e-17
0.010223,-0.05,18.424,1,0.54,0.54,1,6.6131e-17
0.010379,-0.05,0,1,0.55,0.55,1,6.7356e-17
0.010538,-0.05,7.0726,1,0.56,0.56,1,6.858e-17
0.010698,-0.05,39.642,1,0.57,0.57,1,6.9805e-17
0.01086,-0.05,97.707,1,0.58,0.58,1,7.103e-17
0.011025,-0.05,181.27,1,0.59,0.59,1,7.2254e-17
0.011191,-0.05,290.33,1,0.6,0.6,1,7.3479e-17
0.011323,-0.05,190.95,1,0.61,0.61,1,7.4703e-17
0.011457,-0.05,112.23,1,0.62,0.62,1,7.5928e-17
0.011594,-0.05,54.166,1,0.63,0.63,1,7.7153e-17
0.011733,-0.05,16.756,1,0.64,0.64,1,7.8377e-17
0.011875,-0.05,0,1,0.65,0.65,1,7.9602e-17
0.012019,-0.05,3.8996,1,0.66,0.66,1,8.0827e-17
0.012165,-0.05,28.454,1,0.67,0.67,1,8.2051e-17
0.012313,-0.05,73.664,1,0.68,0.68,1,8.3276e-17
0.012464,-0.05,139.53,1,0.69,0.69,1,8.4501e-17
0.012617,-0.05,226.05,1,0.7,0.7,1,8.5725e-17
0.012732,-0.05,150.32,1,0.71,0.71,1,8.695e-17
0.01285,-0.05,89.856,1,0.72,0.72,1,8.8175e-17
0.012971,-0.05,44.647,1,0.73,0.73,1,8.9399e-17
0.013094,-0.05,14.694,1,0.74,0.74,1,9.0624e-17
0.01322,-0.05,0,1,0.75,0.75,1,9.1849e-17
0.013348,-0.05,0.56307,1,0.76,0.76,1,9.3073e-17
0.013479,-0.05,16.384,1,0.77,0.77,1,9.4298e-17
0.013612,-0.05,47.462,1,0.78,0.78,1,9.5522e-17
0.013749,-0.05,93.798,1,0.79,0.79,1,9.6747e-17
0.013888,-0.05,155.39,1,0.8,0.8,1,9.7972e-17
0.013985,-0.05,105.51,1,0.81,0.81,1,9.9196e-17
0.014086,-0.05,65.036,1,0.82,0.82,1,1.0042e-16
0.014189,-0.05,33.957,1,0.83,0.83,1,1.0165e-16
0.014296,-0.05,12.279,1,0.84,0.84,1,1.0287e-16
0.014405,-0.05,0,1,0.85,0.85,1,1.0409e-16
0.014517,-0.05,-2.8791,1,0.86,0.86,1,1.0532e-16
0.014632,-0.05,3.6414,1,0.87,0.87,1,1.0654e-16
0.01475,-0.05,19.562,1,0.88,0.88,1,1.0777e-16
0.014871,-0.05,44.882,1,0.89,0.89,1,1.0899e-16
0.014995,-0.05,79.601,1,0.9,0.9,1,1.1022e-16
0.015075,-0.05,57.313,1,0.91,0.91,1,1.1144e-16
0.015158,-0.05,38.209,1,0.92,0.92,1,1.1267e-16
0.015244,-0.05,22.288,1,0.93,0.93,1,1.1389e-16
0.015333,-0.05,9.5522,1,0.94,0.94,1,1.1512e-16
0.015426,-0.05,0,1,0.95,0.95,1,1.1634e-16
0.015521,-0.05,-6.3681,1,0.96,0.96,1,1.1757e-16
0.01562,-0.05,-9.5522,1,0.97,0.97,1,1.1879e-16
0.015721,-0.05,-9.5522,1,0.98,0.98,1,1.2002e-16
0.015826,-0.05,-6.3681,1,0.99,0.99,1,1.2124e-16
0.015934,-0.05,0,1,1,1,1,1.2246e-16
